Biosample	contig	Genus	Species	predicted_mobility	Total_Size	Relaxase	PCN	percen	Total_DNA_bases	Plasmid_family	rep_type.s.	Multiple_replicons	Length_chr	gc	Number_plasmids	Locus	percen_tamaño	megaplasmid	Plasmid_type	Plasmid_type_curated	z_scores	Predicted_ptu
GCA_001442815	CP009624.2	Staphylococcus	Staphylococcus agnetis	mobilizable	28987	MOBC	1.25058824417653	1.46501387525167	36250.801433945	Unknown	-	Single replicons	2474434	0.2846278820560683	3	plasmid	1.17145981666919	No	NA	-	-0.466685423833816	-
GCA_001442815	CP051853.1	Staphylococcus	Staphylococcus agnetis	non-mobilizable	2260	No MOB	46.8601673981874	4.27992738217724	105903.978319904	Unknown	-	Single replicons	2474434	0.31194690265486724	3	plasmid	0.0913340182037589	No	NA	-	0.224706158070697	PTU-?
GCA_001442815	CP051854.1	Staphylococcus	Staphylococcus agnetis	non-mobilizable	3062	No MOB	31.5576720348714	3.90511897956366	96629.5917707762	rep_cluster_1230	rep_cluster_1230	Single replicons	2474434	0.2906596995427825	3	plasmid	0.123745470681376	No	NA	rep_cluster_1230	0.132646713346537	PTU-Bac19
GCA_001558275	CP014114.1	Staphylococcus	Staphylococcus saprophyticus	non-mobilizable	36907	No MOB	1.29985553935019	1.85684376801678	47973.7683907975	rep_cluster_1215	rep_cluster_1215	Single replicons	2583619	0.299021865770721	2	plasmid	1.42850010005345	No	rep20	rep20	-0.370445205891124	PTU-?
GCA_001558275	CP014115.1	Staphylococcus	Staphylococcus saprophyticus	non-mobilizable	29612	No MOB	1.140487196828	1.30716281589781	33772.1068724707	rep_cluster_1017	rep_cluster_1017,rep_cluster_1110	Multiple replicons	2583619	0.2941375118195326	2	plasmid	1.14614422637394	No	rep19c	rep19c	-0.505456381933758	-
GCA_001558375	CP014058.2	Staphylococcus	Staphylococcus saprophyticus	non-mobilizable	27920	No MOB	3.4414078460654	3.76615951881396	96084.1070621459	rep_cluster_1215	rep_cluster_1215	Single replicons	2551249	0.2963467048710602	1	plasmid	1.0943659360572	No	rep20	rep20	0.0985158595380774	PTU-?
GCA_001558795	CP014063.1	Staphylococcus	Staphylococcus aureus	mobilizable	37980	No MOB	3.89099337268187	5.27560114659801	147779.928294458	rep_cluster_1733	rep_cluster_1733,rep_cluster_2100,rep_cluster_2176	Multiple replicons	2801196	0.28038441284886784	1	plasmid	1.35584943002917	No	rep16, rep16, rep19, rep20	rep16, rep16, rep19, rep20	0.469260904548704	PTU-Bac22
GCA_001717645	CP025482.1	Staphylococcus	Staphylococcus aureus	mobilizable	3269	No MOB	45.5708124223554	5.18509290637483	148970.98580868	rep_cluster_1017	rep_cluster_1017	Single replicons	2873063	0.2921382685836647	2	plasmid	0.113781006542495	No	rep21	rep21	0.447030510886754	PTU-Bac16
GCA_001717645	CP016854.2	Staphylococcus	Staphylococcus aureus	mobilizable	53799	No MOB	3.32761833615295	6.23106903213373	179022.538866692	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100,rep_cluster_910	Multiple replicons	2873063	0.2966412015093217	2	plasmid	1.87253116273468	No	rep16, rep19, rep39	rep16, rep19, rep39	0.70394038980259	PTU-Bac17
GCA_001717665	CP025481.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	3459	No MOB	32.6696115253964	4.11103255731117	113004.186266346	rep_cluster_1017	rep_cluster_1017	Single replicons	2748803	0.3003758311650766	1	plasmid	0.125836591418155	No	rep21	rep21	0.183222659607126	PTU-Bac16
GCA_001717685	CP025486.1	Staphylococcus	Staphylococcus aureus	mobilizable	3269	No MOB	13.2329366032295	1.50558086139107	43258.4697559573	rep_cluster_1017	rep_cluster_1017	Single replicons	2873208	0.2921382685836647	3	plasmid	0.113775264443089	No	rep21	rep21	-0.45672146840463	PTU-Bac16
GCA_001717685	CP016859.2	Staphylococcus	Staphylococcus aureus	mobilizable	21841	MOBQ	1.18659118101475	0.902000063501949	25916.3379845431	rep_cluster_1215	rep_cluster_1215	Single replicons	2873208	0.2798864520855272	3	plasmid	0.760160768033501	No	rep20	rep20	-0.604971381459876	-
GCA_001717685	CP016857.2	Staphylococcus	Staphylococcus aureus	mobilizable	37941	No MOB	2.06137518728003	2.72206662311227	78210.6359805917	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	Multiple replicons	2873208	0.29672386073113516	3	plasmid	1.32051003616863	No	rep16, rep21, rep19	rep16, rep21, rep19	-0.157931465411129	-
GCA_001717705	CP025487.1	Staphylococcus	Staphylococcus aureus	mobilizable	3269	No MOB	32.9868380938912	3.76470052929852	107833.97372893	rep_cluster_1017	rep_cluster_1017	Single replicons	2864344	0.2921382685836647	2	plasmid	0.114127353418444	No	rep21	rep21	0.0981575064069506	PTU-Bac16
GCA_001717705	CP016860.2	Staphylococcus	Staphylococcus aureus	conjugative	61505	MOBP	2.40794635084429	5.17049419722903	148100.740308678	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100,rep_cluster_765	Multiple replicons	2864344	0.2952930656044224	2	plasmid	2.14726303823842	No	rep16, rep19	rep16, rep19	0.443444814706305	PTU-Bac17
GCA_001717725	CP016862.2	Staphylococcus	Staphylococcus aureus	mobilizable	27067	No MOB	3.60571401228443	3.3912002672248	97595.8611705027	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	Multiple replicons	2877915	0.3053903277053238	1	plasmid	0.940507276969612	No	rep16, rep19	rep16, rep19	0.00641936368904487	PTU-Bac17
GCA_001717975	CP025488.1	Staphylococcus	Staphylococcus aureus	mobilizable	3266	No MOB	27.6846654623567	3.16522996354264	90418.1174000571	rep_cluster_1017	rep_cluster_1017	Single replicons	2856605	0.2924066135946111	2	plasmid	0.114331522909188	No	rep21	rep21	-0.0490828623444989	PTU-Bac16
GCA_001717975	CP017095.2	Staphylococcus	Staphylococcus aureus	mobilizable	32660	No MOB	3.39489142654823	3.88143106908603	110877.153991065	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	Multiple replicons	2856605	0.3060012247397428	2	plasmid	1.14331522909188	No	rep16, rep19	rep16, rep19	0.126828551667025	PTU-Bac17
GCA_002208905	CP022055.2	Staphylococcus	Staphylococcus saprophyticus	non-mobilizable	31132	No MOB	2.80810479198382	3.39043997513423	87421.9183840404	rep_cluster_1017	rep_cluster_1017,rep_cluster_1110	Multiple replicons	2578483	0.3127650006424258	2	plasmid	1.20737658537985	No	rep19c	rep19c	0.0062326227643529	-
GCA_002208905	CP022057.2	Staphylococcus	Staphylococcus saprophyticus	non-mobilizable	26165	No MOB	3.30379076632357	3.35250166089349	86443.6854008562	rep_cluster_1017	rep_cluster_1017	Single replicons	2578483	0.2941333842919931	2	plasmid	1.01474394052627	No	NA	rep_cluster_1017	-0.00308568525227476	-
GCA_002209265	CP022092.2	Staphylococcus	Staphylococcus saprophyticus	non-mobilizable	38554	No MOB	1.28357748291809	1.96647167445874	49487.046276424	rep_cluster_1986	rep_cluster_1986	Single replicons	2516540	0.31247082014836336	3	plasmid	1.53202412836673	No	NA	rep_cluster_1986	-0.343518690575714	-
GCA_002386185	CP023496.1	Staphylococcus	Staphylococcus simulans	mobilizable	169687	MOBP	2.07598484678117	13.0359029346893	352267.640695756	rep_cluster_1215	rep_cluster_1215	Single replicons	2702288	0.3212561952300412	1	plasmid	6.2793825084521	Yes	rep20	rep20	2.37532562594219	-
GCA_002591175	CP023967.1	Staphylococcus	Staphylococcus capitis	non-mobilizable	65466	No MOB	1.99090056547308	5.38649628171839	130336.296419261	rep_cluster_1215	rep_cluster_1215,rep_cluster_1215	Multiple replicons	2419686	0.3080835853725598	1	plasmid	2.70555766326705	No	rep20, rep20	rep20, rep20	0.496498673207585	PTU-?
GCA_002591215	CP023971.1	Staphylococcus	Staphylococcus lugdunensis	mobilizable	9893	MOBV	1.82269036462692	0.7041476258969	18031.8757772542	rep_cluster_1442	rep_cluster_1442	Single replicons	2560809	0.2813100171838674	1	plasmid	0.386323228323549	No	NA	rep_cluster_1442	-0.653567371881202	-
GCA_002633805	CP017683.1	Staphylococcus	Staphylococcus aureus	mobilizable	39249	MOBV	1.78374639760219	2.51281481796028	70010.2623594885	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1118,rep_cluster_1118,rep_cluster_1215	Multiple replicons	2786129	0.30612244897959184	1	plasmid	1.40872874156222	No	rep20, rep7a	rep20, rep7a	-0.209327338223728	-
GCA_002633825	CP017681.1	Staphylococcus	Staphylococcus aureus	mobilizable	20653	MOBV	1.24571571228661	0.935956078853245	25727.7666058553	rep_cluster_1733	rep_cluster_1733,rep_cluster_2214	Multiple replicons	2748822	0.2837844380961604	1	plasmid	0.751340028564964	No	rep16, rep5a	rep16, rep5a	-0.59663119512337	PTU-Bac18
GCA_002633865	CP017678.1	Staphylococcus	Staphylococcus aureus	mobilizable	27264	No MOB	3.06909233612993	3.0646017683246	83675.7334522464	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	Multiple replicons	2730395	0.27175029342723006	1	plasmid	0.998536841739016	No	rep20	rep20	-0.0737988924835501	PTU-Bac42
GCA_002944995	CP014118.1	Staphylococcus	Staphylococcus epidermidis	non-mobilizable	25054	No MOB	3.1740167959187	3.18375205755874	79521.8168049472	rep_cluster_1216	rep_cluster_1216,rep_cluster_1733	Multiple replicons	2497739	0.2756845214337032	4	plasmid	1.00306717395212	No	NA	rep_cluster_1216,rep_cluster_1733	-0.0445335147888905	-
GCA_002944995	CP014120.1	Staphylococcus	Staphylococcus epidermidis	mobilizable	9925	MOBV	2.75254359248404	1.09374899280526	27318.9951554041	Unknown	-	Single replicons	2497739	0.2767758186397985	4	plasmid	0.39735937181587	No	NA	-	-0.557874518542653	-
GCA_002944995	CP014117.1	Staphylococcus	Staphylococcus epidermidis	mobilizable	9923	MOBV	2.69354707738841	1.07009049580141	26728.0676489252	Unknown	-	Single replicons	2497739	0.27663005139574726	4	plasmid	0.397279299398376	No	NA	-	-0.56368545576283	-
GCA_002944995	CP014116.1	Staphylococcus	Staphylococcus epidermidis	mobilizable	9324	MOBV	1.54713947602124	0.577543469290507	14425.528474422	Unknown	-	Single replicons	2497739	0.27734877734877733	4	plasmid	0.373297610358808	No	NA	-	-0.684663548689628	-
GCA_002954055	CP014130.1	Staphylococcus	Staphylococcus epidermidis	non-mobilizable	21267	No MOB	2.33205950764803	1.9954571260855	49595.9095491507	rep_cluster_1215	rep_cluster_1215	Single replicons	2485441	0.3013118916631401	2	plasmid	0.855663039275525	No	rep20	rep20	-0.336399360904257	-
GCA_002954055	CP014131.1	Staphylococcus	Staphylococcus epidermidis	mobilizable	9026	MOBV	8.20574318664274	2.97995558947637	74065.0380026374	rep_cluster_1442	rep_cluster_1442	Single replicons	2485441	0.307888322623532	2	plasmid	0.363154868693322	No	NA	rep_cluster_1442	-0.0945894621945065	-
GCA_003010475	CP027496.1	Staphylococcus	Staphylococcus aureus	mobilizable	18911	MOBV	1.156514718494	0.795090546331406	21870.8498414401	rep_cluster_1733	rep_cluster_1733,rep_cluster_2214	Multiple replicons	2750737	0.2827903532896129	10	plasmid	0.687488480359991	No	rep16, rep5a	rep16, rep5a	-0.631230213219833	PTU-Bac18
GCA_003010475	CP027487.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	1469	No MOB	3.37328435329982	0.180146437663704	4955.35471499743	Unknown	-	Single replicons	2750737	0.3056501021102791	10	plasmid	0.0534038695811341	No	NA	-	-0.782271152498635	PTU-Bac18
GCA_003010475	CP027488.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	2687	No MOB	3.72772436838944	0.364134971022763	10016.3953778624	Unknown	-	Single replicons	2750737	0.38667659099367324	10	plasmid	0.0976829118887047	No	NA	-	-0.737080377429191	-
GCA_003010475	CP027491.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	2817	No MOB	2.42980167090306	0.248833360184341	6844.75130693393	Unknown	-	Single replicons	2750737	0.30433238636363635	10	plasmid	0.102408918046327	No	NA	-	-0.765400452954632	PTU-Bac17
GCA_003010475	CP027494.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	2761	No MOB	6.3685552825701	0.639231636291511	17583.581135176	rep_cluster_1017	rep_cluster_1017	Single replicons	2750737	0.30677290836653387	10	plasmid	0.100373100009198	No	NA	rep_cluster_1017	-0.669511864894484	PTU-Bac16
GCA_003010475	CP027495.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	11044	No MOB	3.43578388764978	1.37944111906024	37944.7972552042	Unknown	-	Single replicons	2750737	0.3389170590365809	10	plasmid	0.40149240003679	No	NA	-	-0.487703577011723	-
GCA_003073635	CP029079.1	Staphylococcus	Staphylococcus aureus	mobilizable	24653	MOBV	3.60777096537908	3.1923085728275	88942.3776094904	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2214	Multiple replicons	2786146	0.28649657242526266	1	plasmid	0.884842359302061	No	rep16, rep5a, rep19	rep16, rep5a, rep19	-0.0424318862263438	PTU-Bac18
GCA_003073655	CP029081.1	Staphylococcus	Staphylococcus aureus	mobilizable	27246	No MOB	4.53472661603073	4.24393614852721	123553.161380373	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	Multiple replicons	2911287	0.27200322983190195	1	plasmid	0.935874752300271	No	rep20	rep20	0.215866086819213	PTU-Bac42
GCA_003073755	CP029083.1	Staphylococcus	Staphylococcus aureus	mobilizable	20730	MOBV	5.89175356309884	4.37243790672663	122136.051363039	rep_cluster_1733	rep_cluster_1733,rep_cluster_2214	Multiple replicons	2793317	0.2836951278340569	1	plasmid	0.742128444426465	No	rep16, rep5a	rep16, rep5a	0.247428347492736	PTU-Bac18
GCA_003073775	CP029085.1	Staphylococcus	Staphylococcus aureus	mobilizable	27267	No MOB	4.30816012122425	4.27175922432427	117470.602025422	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	Multiple replicons	2749935	0.27179374335277073	1	plasmid	0.991550709380404	No	rep20	rep20	0.222699916825516	PTU-Bac42
GCA_003111725	CP029167.1	Staphylococcus	Staphylococcus aureus	mobilizable	27887	No MOB	1.01984792694236	0.97553183864086	28440.4991386415	rep_cluster_1017	rep_cluster_1017,rep_cluster_1215	Multiple replicons	2915384	0.29393624269372826	2	plasmid	0.956546376052005	No	rep20	rep20	-0.586910702078978	-
GCA_003111725	CP029165.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	2495	No MOB	28.0701218051687	2.40225486261487	70034.9539038958	rep_cluster_1947	rep_cluster_1947	Single replicons	2915384	0.30781563126252504	2	plasmid	0.085580492998521	No	rep10	rep10	-0.23648278091619	PTU-Bac20
GCA_003193665	CP029648.1	Staphylococcus	Staphylococcus aureus	non-mobilizable	2473	No MOB	11.7998964312376	1.02952096956226	29181.1438744507	rep_cluster_1947	rep_cluster_1947	Single replicons	2834439	0.30812778002426205	1	plasmid	0.0872483055729899	No	rep10	rep10	-0.573650035084573	PTU-Bac20
GCA_003193685	CP029668.1	Staphylococcus	Staphylococcus aureus	mobilizable	3125	No MOB	28.6734192415485	3.11970347327803	89604.435129839	rep_cluster_1017	rep_cluster_1017	Single replicons	2872210	0.28736	1	plasmid	0.108801236678377	No	rep21	rep21	-0.0602649580093074	PTU-Bac16
GCA_003193705	CP029674.1	Staphylococcus	Staphylococcus aureus	mobilizable	25109	MOBQ	1.60018718134762	1.39586809398792	40179.0999364574	rep_cluster_1215	rep_cluster_1215	Single replicons	2878431	0.2892986578517663	1	plasmid	0.872315507997239	No	rep20, repUS70	rep20, repUS70	-0.483668827044021	-
GCA_003193725	CP029676.1	Staphylococcus	Staphylococcus aureus	mobilizable	3127	No MOB	43.9996144216691	4.71015537461343	137586.794296559	rep_cluster_1017	rep_cluster_1017	Single replicons	2921067	0.28717620722737447	2	plasmid	0.107049923880555	No	rep21	rep21	0.330377615306676	PTU-Bac16
GCA_003193725	CP029677.1	Staphylococcus	Staphylococcus aureus	mobilizable	27067	No MOB	5.43123738906452	5.0326576696053	147007.302409809	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	Multiple replicons	2921067	0.3053903277053238	2	plasmid	0.926613460081539	No	rep16, rep19	rep16, rep19	0.40958977275083	PTU-Bac17
GCA_003193765	CP029650.1	Staphylococcus	Staphylococcus aureus	mobilizable	40931	No MOB	1.5407705527099	2.26442180546018	63065.2794929688	rep_cluster_1017	rep_cluster_1017,rep_cluster_155	Multiple replicons	2785050	0.3070777650191786	2	plasmid	1.46966840810757	No	repUS5, rep21	repUS5, rep21	-0.270336970464271	PTU-Bac42
GCA_003193765	CP029651.1	Staphylococcus	Staphylococcus aureus	mobilizable	8012	MOBP	14.3030226626199	4.11467720769504	114595.817572911	rep_cluster_2222	rep_cluster_2222	Single replicons	2785050	0.304418372441338	2	plasmid	0.287678856753021	No	rep5c	rep5c	0.184117848957772	-
GCA_003193885	CP029659.1	Staphylococcus	Staphylococcus aureus	mobilizable	27244	No MOB	5.15487437823756	4.8250465641221	140439.397560704	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	Multiple replicons	2910633	0.2720599030979298	1	plasmid	0.936016323596963	No	rep20	rep20	0.358596884234782	PTU-Bac42
GCA_003193965	CP029666.1	Staphylococcus	Staphylococcus aureus	mobilizable	27063	No MOB	4.86543805493523	4.54378671284917	131673.350080712	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	Multiple replicons	2897877	0.3054354653955585	1	plasmid	0.933890568854372	No	rep16, rep19	rep16, rep19	0.289514586317141	PTU-Bac17
GCA_003194005	CP029654.1	Staphylococcus	Staphylococcus aureus	mobilizable	27267	No MOB	4.02997649282166	3.84583965892304	109885.369029768	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	Multiple replicons	2857253	0.27175706898448676	1	plasmid	0.95430821141845	No	rep20	rep20	0.118086683998884	PTU-Bac42
GCA_003194025	CP029679.1	Staphylococcus	Staphylococcus aureus	mobilizable	27267	No MOB	4.52532359061079	4.24008543759847	123391.998345184	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	Multiple replicons	2910130	0.27172039461620273	1	plasmid	0.936968451581201	No	rep20	rep20	0.214920285424632	PTU-Bac42
GCA_003203595	CP029665.1	Staphylococcus	Staphylococcus aureus	mobilizable	26984	No MOB	4.77429760820218	4.47218171276829	128829.646659728	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	Multiple replicons	2880689	0.30525496590572193	1	plasmid	0.936720347111403	No	rep16, rep19	rep16, rep19	0.271927156310361	PTU-Bac17
GCA_003203615	CP029656.1	Staphylococcus	Staphylococcus aureus	mobilizable	27245	No MOB	5.38626693029075	5.04069141024275	146748.842515771	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	Multiple replicons	2911284	0.27197650945127544	1	plasmid	0.935841367589009	No	rep20	rep20	0.411562998796415	PTU-Bac42
GCA_003203635	CP029661.1	Staphylococcus	Staphylococcus aureus	mobilizable	28166	MOBV	2.10877732401729	2.07144844915617	59395.822108271	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1018,rep_cluster_1110	Multiple replicons	2867357	0.29940353617837107	2	plasmid	0.982298332575958	No	rep21, rep21, rep22, rep19b	rep21, rep21, rep22, rep19b	-0.317734573890521	PTU-Bac45
GCA_003203635	CP029662.1	Staphylococcus	Staphylococcus aureus	mobilizable	27238	No MOB	4.73846134166162	4.50122569405132	129066.210024179	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	Multiple replicons	2867357	0.2717894118510904	2	plasmid	0.949934033327556	No	rep20	rep20	0.279060861880595	PTU-Bac42
GCA_003203655	CP029670.1	Staphylococcus	Staphylococcus aureus	mobilizable	27276	No MOB	3.53063047421659	3.57704046282894	96301.4768147316	rep_cluster_1017	rep_cluster_1017,rep_cluster_1017,rep_cluster_1215	Multiple replicons	2692211	0.27174072444639974	1	plasmid	1.01314495780606	No	rep20	rep20	0.0520649391229139	PTU-Bac42
GCA_003288395	CP030324.1	Staphylococcus	Staphylococcus aureus	mobilizable	27168	No MOB	4.62109556127559	4.49942332431753	125545.924208735	rep_cluster_1017	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	Multiple replicons	2790267	0.305616902237927	1	plasmid	0.973670261663131	No	rep16, rep19	rep16, rep19	0.27861816861192	PTU-Bac17
